20	201.407	196.373	127.838	291.953	96.4416	437.087
30	137.423	132.967	89.7461	199.715	67.4965	292.62
40	104.459	100.48	69.8502	144.443	54.7041	203.713
50	139.132	136.382	97.3717	200.141	74.9802	279.987
60	327.445	317.109	224.062	466.223	174.633	661.421
70	212.059	218.398	152.836	324.435	118.096	469.72
75	307.034	275.602	200.001	413.671	144.242	582.196
85	922.985	950.342	689.296	1390.59	534.49	1959.38
90	565.314	668.445	475.225	968.506	359.596	1311.3
100	384.23	419.83	302.808	607.466	234.82	824.426
125	34.1234	54.5567	36.613	74.15	29.2149	104.67
150	60.7259	84.3953	62.2893	120.863	46.1334	162.295
200	179.282	141.431	101.157	197.81	82.2289	276.027
250	175.723	203.829	143.236	293.433	109.072	388.129
300	436.957	339.087	246.409	472.245	199.621	644.344
400	181.653	96.8788	79.9145	137.344	70.5775	188.946
500	456.21	259.752	220.317	371.272	197.61	510.295
600	843.326	527.731	428.172	741.097	407.612	1022.16
700	1417.32	1093.36	884.939	1514.1	760.952	2105.33
800	297.408	228.753	177.775	313.993	159.873	441.283
900	481.92	359.875	311.84	514.526	288.208	710.497
1000	909.487	721.172	565.867	965.576	523.813	1356.29
1100	1312.23	1252.51	1032.76	1767.04	965.419	2438.61
1200	2261.18	2148.42	1773.37	3028.72	1616.17	4198.39
1300	3770.51	3437.09	2865.28	4940.25	2736.1	6496.73
1400	7611.84	6692.11	5866.22	9658.05	5482.87	13920.7
1500	12668.1	11204.4	9940.13	15977.3	10240.0	0.0
