20	110.19	88.5674	62.6251	128.547	47.4416	179.319
30	88.6051	69.8324	48.8416	102.665	37.5576	141.35
40	95.3948	81.6891	57.2641	115.881	44.4421	166.067
50	129.885	114.536	81.2893	161.244	62.7075	224.671
60	304.404	273.951	191.104	391.941	140.514	553.954
70	226.133	257.725	182.454	381.436	136.056	525.875
75	483.665	443.754	320.971	688.592	248.028	1015.61
85	1058.35	1015.18	739.615	1534.21	565.014	2162.09
90	937.444	1030.84	719.237	1533.01	550.242	2259.87
100	368.924	467.448	329.897	640.0	250.129	896.377
125	63.3389	65.4099	46.1189	88.7823	37.304	124.375
150	61.9159	90.4068	64.162	128.255	51.242	178.073
200	151.2	159.838	118.606	226.686	91.7259	319.014
250	206.654	216.957	159.764	313.079	128.258	427.71
300	254.261	284.563	204.838	395.26	174.402	570.181
400	68.8604	59.74	45.5218	84.6701	38.3525	116.191
500	95.9664	94.6793	70.0127	134.266	60.9599	191.43
600	123.0	104.302	86.9565	142.998	77.6662	210.849
700	274.57	183.121	145.096	256.677	141.613	373.153
800	24.8148	30.189	25.2425	43.9159	23.0612	62.5598
900	46.0243	47.1442	42.568	51.84	39.3768	79.0139
1000	95.1426	72.0759	66.6415	93.5032	62.1854	127.018
1100	164.011	117.305	110.973	130.467	108.871	190.599
1200	252.706	183.214	176.189	201.606	167.837	297.364
1300	379.988	285.811	268.493	303.417	242.911	447.862
1400	419.316	434.08	414.288	458.408	353.698	604.716
1500	631.767	644.258	606.953	669.193	535.995	838.695
