20	112.528	92.093	62.3156	130.91	47.2226	180.364
30	87.8123	70.8816	49.8501	100.137	37.3748	136.917
40	97.1432	84.3651	56.569	121.381	45.5151	167.994
50	133.844	119.938	83.6418	167.872	64.4131	237.467
60	304.483	281.621	200.965	394.959	153.899	549.36
70	235.829	258.366	181.499	385.574	141.389	560.038
75	484.136	471.17	320.853	685.723	271.858	988.201
85	1038.7	1027.95	732.813	1520.25	564.47	2137.18
90	895.825	976.447	713.538	1507.19	442.069	2181.51
100	397.221	467.862	335.142	670.188	255.376	909.526
125	64.1768	64.2848	45.8438	89.0704	37.2009	125.756
150	59.5933	91.9469	64.8224	128.665	49.572	179.099
200	147.5	158.133	116.421	218.944	91.0594	314.701
250	205.421	220.825	162.081	322.674	134.232	437.232
300	242.84	275.373	200.697	398.27	161.958	547.095
400	62.8447	53.9096	41.6436	78.047	35.5979	105.398
500	84.5223	79.3384	60.79	112.337	47.4014	156.293
600	91.5429	82.2167	66.4171	114.847	60.5869	162.759
700	178.522	126.539	105.677	178.576	89.9279	252.861
800	14.9342	17.5057	14.5225	25.0423	13.6926	37.1967
900	23.1214	24.0377	22.2296	27.3286	20.2165	40.2148
1000	43.6906	32.2172	29.3793	42.2924	26.6248	57.7835
1100	64.5245	47.2405	39.6521	51.8969	39.9368	76.0992
1200	88.301	66.4364	60.1976	70.332	52.9796	105.401
1300	119.362	90.7836	82.9797	97.755	79.1626	141.51
1400	112.124	118.362	107.911	125.453	105.745	164.662
1500	152.148	148.836	136.195	158.716	129.543	197.069
1700	319.063	332.122	299.795	343.003	277.845	353.093
2000	643.13	647.453	612.498	691.673	556.019	735.646
