20	83.3857	86.2281	61.9125	121.321	46.213	171.606
30	74.3604	77.389	53.8275	112.472	39.1715	154.016
40	54.5938	56.1603	40.2931	79.2429	31.0055	109.982
50	86.3157	91.625	63.0435	127.509	49.7722	173.03
60	259.143	268.902	186.933	383.722	141.783	528.873
70	187.973	218.03	151.668	312.716	113.116	452.379
75	296.3	278.143	195.294	415.286	143.054	587.423
85	768.414	932.656	670.349	1344.36	480.923	1845.77
90	415.497	640.0	473.769	973.161	357.987	1332.2
100	307.433	420.028	310.748	615.511	226.843	829.522
125	33.7118	53.337	38.5339	78.3408	30.1047	108.268
150	63.2416	86.469	60.1738	120.747	46.7932	165.337
200	189.608	147.532	107.011	202.797	80.152	279.309
250	175.367	179.511	131.264	248.992	103.197	349.718
300	250.322	213.215	157.536	309.443	134.646	420.77
400	50.7346	39.2968	31.0918	57.6614	25.0167	78.7897
500	43.859	46.3448	37.4821	66.6114	34.3123	96.8522
600	88.3702	83.8646	65.1278	120.18	57.369	172.995
700	132.16	124.778	92.9739	180.225	81.5219	249.812
800	22.1151	14.3433	11.9275	20.3893	11.4463	28.0513
900	17.9327	17.909	16.4407	26.518	16.0149	36.1156
1000	27.9151	26.3338	24.5361	32.91	23.2941	45.5901
1100	33.32	33.9709	32.7232	45.1666	29.025	64.6122
1200	47.7948	46.2614	42.7115	50.1567	40.9493	75.3293
1300	61.5014	62.1511	54.5424	66.375	54.2786	100.803
1400	83.6962	80.9908	74.4925	91.9493	73.4385	135.034
1500	125.031	121.049	115.099	131.555	97.2929	162.876
1700	270.518	285.362	259.81	403.092	230.957	586.697
2000	511.72	506.139	467.168	538.731	438.417	801.007
