20	83.3283	84.8535	62.7102	124.216	46.6191	172.665
30	74.439	77.8532	53.294	109.742	41.9864	155.02
40	54.8776	56.8958	40.9671	80.5583	30.0	111.163
50	86.0398	84.0423	63.8289	125.096	49.0294	178.38
60	251.806	249.067	182.463	358.844	140.026	513.582
70	186.745	206.532	147.191	301.981	110.571	429.51
75	306.946	271.165	195.665	395.568	141.572	572.865
85	742.394	913.101	614.037	1233.23	449.305	1797.05
90	368.479	614.114	448.986	881.695	331.289	1223.54
100	290.008	410.683	281.699	577.042	227.102	797.656
125	33.6466	55.9408	38.8699	79.4165	30.5588	108.222
150	62.3902	82.975	61.7034	121.76	46.8095	165.208
200	187.344	136.932	99.7265	193.608	80.0	260.447
250	168.976	178.214	131.729	246.038	103.326	346.829
300	257.416	218.714	161.845	312.816	133.369	426.436
400	51.8467	39.6317	29.9801	56.8067	20.8415	77.5429
500	45.2587	46.813	37.7724	68.7765	34.7891	97.6593
600	90.0862	88.4598	65.6302	122.116	61.0964	168.703
700	134.809	123.904	93.1568	179.92	84.0287	254.723
800	22.2963	14.4261	11.9547	19.7924	11.1529	28.7468
900	18.1025	17.8333	16.5349	26.3602	15.9631	37.0096
1000	28.0044	26.8884	24.9346	31.5791	23.4861	46.9284
1100	34.4163	33.8577	32.3505	46.3966	29.9837	63.6496
1200	46.4722	46.471	42.8092	50.5136	41.5557	75.3349
1300	61.1279	61.5947	57.0175	66.0046	51.2989	101.486
1400	83.0085	82.8097	75.7937	90.3505	73.7768	135.013
1500	123.863	124.842	114.844	130.13	107.887	166.172
1700	245.571	257.358	234.29	362.45	218.777	522.855
2000	508.857	512.365	473.642	528.944	420.85	810.594
