20	38.6013	31.3892	23.4183	46.9188	18.3452	65.322
30	29.157	23.2773	17.3379	34.4247	12.9585	49.3126
40	23.5563	19.763	14.4387	28.2913	11.1178	38.9449
50	25.5365	21.0349	15.5871	30.6132	12.1066	41.7838
60	68.1715	54.48	40.5236	78.7208	31.795	110.382
70	64.1538	58.745	40.8312	81.6299	31.4482	117.006
75	125.762	110.91	77.2418	158.919	57.8055	228.412
85	415.315	357.479	259.022	476.041	203.803	689.63
90	291.969	279.381	198.542	392.934	144.601	535.851
100	215.218	175.333	128.363	249.515	97.7213	333.925
125	23.0424	21.5041	15.8513	30.5593	12.4043	42.1775
150	41.8101	32.925	24.6193	46.6627	18.7687	64.0783
200	49.4399	56.3397	39.6675	78.9811	32.9474	110.605
250	57.1134	70.8081	51.0183	101.498	43.5859	141.461
300	81.2452	95.0624	71.4327	135.73	62.1976	192.166
400	36.7668	18.8665	15.3451	27.9121	14.5763	37.3801
500	40.1455	38.4947	31.673	52.3104	30.345	72.311
600	56.0452	42.8618	36.1994	60.4675	32.763	84.0955
700	122.926	74.4406	62.2855	104.702	61.1786	147.598
800	8.8852	8.4652	8.0823	11.464	6.812	16.6341
900	21.2021	12.594	12.14	16.4083	11.2679	22.6379
1000	27.1287	16.3718	15.3518	20.3754	14.9437	28.6263
1100	38.7571	23.4646	21.9465	27.0152	19.7119	38.2471
1200	48.9324	32.9925	30.0215	43.4587	30.1438	60.0151
1300	63.9919	43.0679	38.4406	56.2751	36.8666	80.2882
1400	91.9852	61.6472	56.8591	75.4029	53.3988	108.623
1500	116.982	74.073	67.8516	79.741	67.4626	116.94
1700	142.081	135.185	125.092	142.147	119.086	168.325
2000	311.967	304.058	278.503	320.637	267.316	333.591
