20	210.239	228.16	158.868	339.686	114.705	506.372
30	156.238	168.539	119.855	253.832	88.8455	377.32
40	122.55	133.452	93.5729	194.001	71.3989	270.716
50	153.395	162.457	120.541	240.252	90.1958	341.657
60	322.029	352.698	254.609	523.848	193.11	730.944
70	226.437	260.773	180.08	377.294	141.938	555.005
75	512.086	504.132	349.777	731.045	264.26	1055.73
85	1096.46	1130.44	779.887	1579.81	591.514	2294.52
90	884.077	1019.04	717.447	1550.24	555.366	2254.85
100	381.546	478.906	344.228	682.849	263.698	936.904
125	64.3831	61.2266	45.9226	90.4432	36.3851	124.342
150	65.7769	93.1823	63.9682	132.776	50.8516	180.804
200	151.761	174.481	126.897	245.774	99.4394	344.542
250	204.612	247.888	176.887	344.048	149.434	491.194
300	370.71	435.37	313.62	615.274	266.768	861.455
400	136.874	110.015	83.7802	151.115	75.7321	214.529
500	502.585	266.679	211.729	373.541	209.148	537.744
600	639.589	569.145	487.796	825.313	459.427	1139.03
700	1167.17	1281.15	989.487	1815.94	899.015	2461.8
800	216.68	235.382	184.532	341.197	172.657	483.502
900	423.228	461.997	358.451	660.152	347.823	954.574
1000	852.98	940.4	712.534	1371.69	672.409	1922.19
1100	1607.74	1781.61	1329.78	2540.0	1214.89	3552.33
1200	2864.74	3213.68	2388.57	4549.55	2190.65	6181.67
1300	4594.08	5123.11	3953.29	7429.28	3525.06	10099.1
1400	9296.34	10402.8	8025.79	14305.5	6987.27	0.0
1500	12627.3	13632.1	10472.9	0.0	9218.53	0.0
